Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
1634,24-06-2016,Schedulers Logistics,Logistics,Cold Storage Logistics solutions,Mumbai,GVFL,Private Equity,6000000.0
1635,24-06-2016,LEAP India,Others,Supply Chain Equipment & Services provider,Mumbai,Mayfield Ventures,Private Equity,3000000.0
1636,24-06-2016,KabadiExpress,Others,Free Door Step Scrap Pickup Service,New Delhi,Undisclosed investor,Seed Funding,148000.0
1637,27-06-2016,YourDost,Consumer Internet,Online counselling & Personal coaching platform,Bangalore,SAIF Partners Aprameya Radhakrishnan Phanindra Sama Subba Rao Telidevara Vibhu Garg Paula Ravindra Mariwala Gaurav Bhalotia,Seed Funding,1200000.0
1638,27-06-2016,Gomalon,Consumer Internet,Online Spa & Salon discovery & Booking platform,Bangalore,Undisclosed investor,Seed Funding,100000.0
1640,27-06-2016,Travelyaari,Consumer Internet,Online ticket booking platform,Bangalore,GVFL Ltd,Private Equity,3000000.0
1641,28-06-2016,FabHotels,Consumer Internet,Online Hotel aggregator & Booking platform,Gurgaon,Accel Partners RB Investments,Private Equity,8000000.0
1642,28-06-2016,Locanix,Technology,GPS based SaaS Solutions,Ahmedabad,Undisclosed investors,Seed Funding,300000.0
1643,28-06-2016,LendingKart,Consumer Internet,Online Working Capital Business Loans Platform,Ahmedabad,Bertelsmann India Investments Mayfield India Saama Capital India Quotient,Private Equity,32000000.0
1644,28-06-2016,Hello Tax,Consumer Internet,Online Tax Filing Platform,New Delhi,Sanjeev Sinha,Seed Funding,295000.0
1647,29-06-2016,LetReach,E-commerce,E-commerce SAAS Solutions,New Delhi,vCommission,Private Equity,100000.0
1648,29-06-2016,TrendieApp,Technology,Visual Content Marketing,Kolkata,Harsh Vardhan Hada,Seed Funding,50000.0
1650,29-06-2016,Velvetcase,E-commerce,Online designer jewellery marketplace,Mumbai,Uniqorn Ventures Fund TV Mohandas Pai S Somasegar,Private Equity,1500000.0
1651,30-06-2016,Meru Cabs,Consumer Internet,Online/Mobile Tax Cab booking,Mumbai,Brand Capital,Private Equity,25000000.0
1652,30-06-2016,Campus Diaries,Consumer Internet,Student focussed Content Discovery portal,Bangalore,Aarin Capital,Seed Funding,220000.0
1654,30-06-2016,Biryani Blues,Food & Beverage,QSR Chain,Gurgaon,Carpediem Capital & Others,Private Equity,368000.0
1656,01-05-2016,Get My Parking,Technology,Parking Technology Platform,New Delhi,The Chennai Angels,Seed Funding,376000.0
1657,01-05-2016,Prescribez,Consumer Internet,Health Service Aggregator Platform,Pune,Ankush Mehta,Seed Funding,145000.0
1659,03-05-2016,Mobikwik,Consumer Internet,Mobile & Digital Wallet,Gurgaon,GMO Payment Gateway MediaTek,Private Equity,50000000.0
1661,03-05-2016,Zwayam,Consumer Internet,Online Recruitment Platform,Bangalore,Undisclosed investors,Seed Funding,250000.0
1663,03-05-2016,Zuver,Consumer Internet,Car driver Discovery App,Mumbai,Shruth & Smith Group Hermes Group,Seed Funding,180000.0
1665,04-05-2016,EasyRoads,Consumer Internet,Road Trip planning Mobile app,Mumbai,Rohan Angrish Hrishi Oberoi Rahul Mehta Kapil Hetamsaria Pranav Dedhia,Seed Funding,200000.0
1666,04-05-2016,Lenskart,E-commerce,Eyewear & Accessories etailer,New Delhi,International Finance Corp TPG Growth Adveq Management IDG Ventures Ratan Tata Kris Gopalakrishnan,Private Equity,60000000.0
1667,04-05-2016,Seclore,Technology,Enterprise Security Technology platform,Mumbai,Sistema Asia Fund Helion Venture VentureEast India Alternatives,Private Equity,12000000.0
1668,04-05-2016,SolarTown,Technology,Solar Rooftop system installation company,Chennai,Grex.in,Seed Funding,200000.0
1669,04-05-2016,Comarete,Technology,Telecom & Media IT services company,Pune,Grex.in,Seed Funding,200000.0
